session_id,segment_id,load_kg,data_origin
20260811_182606_294,0,4346.6,synthetic_debug_fixture
20260811_182606_294,1,4709.1,synthetic_debug_fixture
20260811_182606_294,2,4764.3,synthetic_debug_fixture
20260811_182606_294,3,4227.8,synthetic_debug_fixture
20260811_182606_294,4,4371.1,synthetic_debug_fixture
20260811_182606_294,5,4664.3,synthetic_debug_fixture
20260811_182606_294,6,4597.7,synthetic_debug_fixture
20260811_182606_294,7,4673.8,synthetic_debug_fixture
20260811_182606_294,8,4531.7,synthetic_debug_fixture
20260811_182606_294,9,4882.8,synthetic_debug_fixture
20260811_182606_294,10,4881.7,synthetic_debug_fixture
20260811_182606_294,11,4763.4,synthetic_debug_fixture
20260811_182606_294,12,4985.4,synthetic_debug_fixture
20260811_182606_294,13,4876.9,synthetic_debug_fixture
20260811_182606_294,14,4640.3,synthetic_debug_fixture
20260811_182606_294,15,4894.1,synthetic_debug_fixture
20260811_182606_294,16,4657.0,synthetic_debug_fixture
20260811_182606_294,17,5027.6,synthetic_debug_fixture
20260811_182606_294,18,4867.0,synthetic_debug_fixture
20260811_182606_294,19,4858.6,synthetic_debug_fixture
20260811_182606_294,20,4780.7,synthetic_debug_fixture
20260811_182606_294,21,5163.5,synthetic_debug_fixture
20260811_182606_294,22,4916.2,synthetic_debug_fixture
20260811_182606_294,23,4880.6,synthetic_debug_fixture
20260811_182606_294,24,4912.0,synthetic_debug_fixture
20260811_182606_294,25,5098.4,synthetic_debug_fixture
20260811_182606_294,26,5082.8,synthetic_debug_fixture
20260811_182606_294,27,5108.2,synthetic_debug_fixture
20260811_182606_294,28,5127.8,synthetic_debug_fixture
20260811_182606_294,29,5472.2,synthetic_debug_fixture
20260811_182606_294,30,4998.7,synthetic_debug_fixture
20260811_182606_294,31,4993.8,synthetic_debug_fixture
20260811_182606_294,32,4951.3,synthetic_debug_fixture
20260811_182606_294,33,5240.9,synthetic_debug_fixture
20260811_182606_294,34,5354.2,synthetic_debug_fixture
20260811_182606_294,35,5130.2,synthetic_debug_fixture
20260811_182606_294,36,5005.2,synthetic_debug_fixture
20260811_182606_294,37,5022.4,synthetic_debug_fixture
20260811_182606_294,38,5319.6,synthetic_debug_fixture
20260811_182606_294,39,5351.0,synthetic_debug_fixture
20260811_182606_294,40,5326.1,synthetic_debug_fixture
20260811_182606_294,41,5107.2,synthetic_debug_fixture
20260811_182606_294,42,5292.4,synthetic_debug_fixture
20260811_182606_294,43,5282.9,synthetic_debug_fixture
20260811_182606_294,44,5314.9,synthetic_debug_fixture
20260811_182606_294,45,5452.3,synthetic_debug_fixture
20260811_182606_294,46,5339.8,synthetic_debug_fixture
20260811_182606_294,47,5438.7,synthetic_debug_fixture
20260811_182606_294,48,5332.6,synthetic_debug_fixture
20260811_182606_294,49,5386.1,synthetic_debug_fixture
20260811_182606_294,50,5462.4,synthetic_debug_fixture
20260811_182606_294,51,5071.8,synthetic_debug_fixture
20260811_182606_294,52,5300.2,synthetic_debug_fixture
20260811_182606_294,53,5281.0,synthetic_debug_fixture
20260811_182606_294,54,5258.1,synthetic_debug_fixture
20260811_182606_294,55,5337.0,synthetic_debug_fixture
20260811_182606_294,56,5685.7,synthetic_debug_fixture
20260811_182606_294,57,5240.8,synthetic_debug_fixture
20260811_182606_294,58,5601.1,synthetic_debug_fixture
20260811_182606_294,59,5099.9,synthetic_debug_fixture
20260811_182606_294,60,5366.2,synthetic_debug_fixture
20260811_182606_294,61,5468.9,synthetic_debug_fixture
20260811_182606_294,62,5556.9,synthetic_debug_fixture
20260811_182606_294,63,5587.4,synthetic_debug_fixture
20260811_182606_294,64,5609.3,synthetic_debug_fixture
20260811_182606_294,65,5395.7,synthetic_debug_fixture
20260811_182606_294,66,5379.3,synthetic_debug_fixture
20260811_182606_294,67,5637.9,synthetic_debug_fixture
20260811_182606_294,68,5441.1,synthetic_debug_fixture
20260811_182606_294,69,5237.3,synthetic_debug_fixture
20260811_182606_294,70,5268.6,synthetic_debug_fixture
20260811_182606_294,71,5313.3,synthetic_debug_fixture
20260811_182606_294,72,5588.5,synthetic_debug_fixture
20260811_182606_294,73,5523.3,synthetic_debug_fixture
20260811_182606_294,74,5631.1,synthetic_debug_fixture
20260811_182606_294,75,5418.7,synthetic_debug_fixture
20260811_182606_294,76,5533.0,synthetic_debug_fixture
20260811_182606_294,77,5624.1,synthetic_debug_fixture
20260811_182606_294,78,5445.7,synthetic_debug_fixture
20260811_182606_294,79,5593.6,synthetic_debug_fixture
20260811_182606_294,80,5379.1,synthetic_debug_fixture
20260811_182606_294,81,5436.5,synthetic_debug_fixture
20260811_182606_294,82,5432.6,synthetic_debug_fixture
20260811_182606_294,83,5275.5,synthetic_debug_fixture
20260811_182606_294,84,5597.5,synthetic_debug_fixture
20260811_182606_294,85,5412.4,synthetic_debug_fixture
20260811_182606_294,86,5503.1,synthetic_debug_fixture
20260811_182606_294,87,5590.9,synthetic_debug_fixture
20260811_182606_294,88,5581.7,synthetic_debug_fixture
20260811_182606_294,89,5620.8,synthetic_debug_fixture
20260811_182606_294,90,5470.9,synthetic_debug_fixture
20260811_182606_294,91,5404.9,synthetic_debug_fixture
20260811_182606_294,92,5466.9,synthetic_debug_fixture
20260811_182606_294,93,5153.9,synthetic_debug_fixture
20260811_182606_294,94,5195.3,synthetic_debug_fixture
20260811_182606_294,95,5214.1,synthetic_debug_fixture
20260811_182606_294,96,5271.2,synthetic_debug_fixture
20260811_182606_294,97,5533.7,synthetic_debug_fixture
20260811_182606_294,98,5277.0,synthetic_debug_fixture
20260811_182606_294,99,5371.8,synthetic_debug_fixture
20260811_182606_294,100,5687.1,synthetic_debug_fixture
20260811_182606_294,101,5362.1,synthetic_debug_fixture
20260811_182606_294,102,5564.6,synthetic_debug_fixture
20260811_182606_294,103,5236.0,synthetic_debug_fixture
20260811_182606_294,104,5367.6,synthetic_debug_fixture
20260811_182606_294,105,5216.2,synthetic_debug_fixture
20260811_182606_294,106,5324.8,synthetic_debug_fixture
20260811_182606_294,107,5542.1,synthetic_debug_fixture
20260811_182606_294,108,5039.7,synthetic_debug_fixture
20260811_182606_294,109,5445.0,synthetic_debug_fixture
20260811_182606_294,110,5397.2,synthetic_debug_fixture
20260811_182606_294,111,5227.1,synthetic_debug_fixture
20260811_182606_294,112,5052.9,synthetic_debug_fixture
20260811_182606_294,113,5333.5,synthetic_debug_fixture
20260811_182606_294,114,5206.7,synthetic_debug_fixture
20260811_182606_294,115,5341.5,synthetic_debug_fixture
20260811_182606_294,116,5289.2,synthetic_debug_fixture
20260811_182606_294,117,5580.4,synthetic_debug_fixture
20260811_182606_294,118,5214.6,synthetic_debug_fixture
20260811_182606_294,119,5051.4,synthetic_debug_fixture
20260811_182606_294,120,5269.4,synthetic_debug_fixture
20260811_182606_294,121,5264.0,synthetic_debug_fixture
20260811_182606_294,122,5469.3,synthetic_debug_fixture
20260811_182606_294,123,5355.0,synthetic_debug_fixture
20260811_182606_294,124,5249.2,synthetic_debug_fixture
20260811_182606_294,125,5447.5,synthetic_debug_fixture
20260811_182606_294,126,4923.9,synthetic_debug_fixture
20260811_182606_294,127,5014.6,synthetic_debug_fixture
